AD	AD100	Canillo	Canillo	02					42.5833	1.6667	6
AR	4193	RECREO	Salta	A					-25.8167	-64.6333	4
AR	4193	BALBOA	Salta	A					-25.8667	-64.8	4
AR	4193	MORENILLO	Salta	A					-26.2	-64.85	4
AR	4193	TUNAL	Salta	A					-25.4167	-65.5833	4
AR	4193	VILLA CORTA	Salta	A					-25.8667	-64.5833	4
AR	4193	ALMIRANTE BROWN	Salta	A					-25.9	-64.7667	4
AR	4198	HORCONES	Salta	A					-25.7167	-64.9	4
AR	4198	LA HOYADA	Salta	A					-25.85	-65.1833	4
AR	4198	LOS ZANJONES	Salta	A					-25.7833	-65.0417	3
AR	4198	TAMAS CORTADAS	Salta	A					-25.7833	-65.0417	3
AR	4198	EL QUEMADO (BAJADA DE GAVI, DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.7833	-65.0417	3
AR	4198	EL TANDIL	Salta	A					-25.7833	-65.0417	3
AR	4198	SANTA ROSA (HORCONES - DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.7833	-65.0417	3
AR	4198	SAN LORENZO (HORCONES, DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.7833	-65.0417	3
AR	4198	SAN FELIPE (HORCONES - DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.7833	-65.0417	3
AR	4198	POZO VERDE (HORCONES, DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.7833	-65.0417	3
AR	4198	PASO VERDE	Salta	A					-25.7833	-65.0417	3
AR	4198	OVEJERIA (HORCONES, DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.7833	-65.0417	3
AR	4198	LOS CHURQUIS (ARENAL, DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.7833	-65.0417	3
AR	4198	EL PUESTITO	Salta	A					-25.7833	-65.0417	3
AR	4198	EL OJITO	Salta	A					-25.7833	-65.0417	3
AR	4198	LAS VENTANAS	Salta	A					-25.7833	-65.0417	3
AR	4198	FEDERACION	Salta	A					-25.7833	-65.0417	3
AR	4198	EL CORRAL VIEJO	Salta	A					-25.7833	-65.0417	3
AR	4198	DIAMANTE (HORCONES, DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.7833	-65.0417	3
AR	4198	CAMARA (ARENAL, DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.7833	-65.0417	3
AR	4198	BAJADA GRANDE	Salta	A					-25.7833	-65.0417	3
AR	4198	BAJADA DE GAVI	Salta	A					-25.7833	-65.0417	3
AR	4198	ARENAL (DPTO. ROSARIO DE LA FRONTERA)	Salta	A					-25.7833	-65.0417	3
AR	4198	LA PLATA	Salta	A					-25.7833	-65.0417	3
AR	4198	LA PALATA	Salta	A					-25.7833	-65.0417	3
AR	4198	LAS MOJARRAS	Salta	A					-25.7833	-65.0417	3
AR	4400	BARRIO OBRERO	Salta	A					-24.8056	-65.3417	3
AR	4400	BARRIO LIBERTADOR	Salta	A					-24.8056	-65.3417	3
AR	4400	BARRIO PARQUE TRES CERRITOS	Salta	A					-24.8056	-65.3417	3
AR	4400	BARRIO SAN CAYETANO	Salta	A					-24.8056	-65.3417	3
AR	4400	BARRIO LAS ROSAS	Salta	A					-24.8056	-65.3417	3
AR	4400	BARRIO LA LOMA	Salta	A					-24.8056	-65.3417	3
AR	4400	BARRIO FINCA INDEPENDENCIA	Salta	A					-24.8056	-65.3417	3
AR	4400	BARRIO EL CARMEN	Salta	A					-24.8056	-65.3417	3
AR	4400	BARRIO CASTAÑARES	Salta	A					-24.8056	-65.3417	3
AR	4400	BARRIO SAN REMO	Salta	A					-24.8056	-65.3417	3
AR	4400	BARRIO TRES CERRITOS	Salta	A					-24.8056	-65.3417	3
AR	4400	BARRIO 20 DE JUNIO	Salta	A					-24.8056	-65.3417	3
AR	4400	CAMPO CASEROS	Salta	A					-24.8056	-65.3417	3
AR	4400	BELGRANO (SALTA - DPTO. CAPITAL)	Salta	A					-24.8056	-65.3417	3
AR	4400	BARRIO VILLA SAN ANTONIO	Salta	A					-24.8056	-65.3417	3
AR	4400	LOS NOQUES	Salta	A					-24.8056	-65.3417	3
AR	4400	LA TROJA	Salta	A					-24.8056	-65.3417	3
AR	4400	KILOMETRO 1129	Salta	A					-24.8056	-65.3417	3
AR	4400	ESTELA	Salta	A					-24.8056	-65.3417	3
AR	4400	CHAMICAL	Salta	A					-24.8056	-65.3417	3
AR	4400	LA LAGUNILLA	Salta	A					-24.7333	-65.2833	4
AR	4400	LA QUESERA	Salta	A					-24.8833	-65.3	4
AR	4400	HIGUERILLAS	Salta	A					-24.8	-65.2833	4
AR	4400	BARRIO MITRE	Salta	A					-24.8056	-65.3417	3
AR	4400	SALTA	Salta	A					-24.7833	-65.4167	4
AR	4400	LA ISLA	Salta	A					-24.8833	-65.3833	4
AR	4400	CHACHAPOYAS	Salta	A					-24.75	-65.3833	4
AR	4401	GENERAL ALVARADO	Salta	A					-24.85	-65.4667	4
AR	4401	CALDERILLA	Salta	A					-24.65	-65.3667	4
AR	4401	CALDERA	Salta	A					-24.6	-65.3833	4
AR	4401	SANTA RUFINA	Salta	A					-24.5167	-65.4167	4
AR	4401	VAQUEROS	Salta	A					-24.7167	-65.4167	4
AR	4401	KILOMETRO 1125 (EMBARCADERO FCGB)	Salta	A					-24.6806	-65.4194	3
AR	4401	ANTONIO ALICE	Salta	A					-24.6806	-65.4194	3
AR	4401	ATOCHA	Salta	A					-24.6806	-65.4194	3
AR	4401	CASTELLANOS	Salta	A					-24.6806	-65.4194	3
AR	4401	CURUZU	Salta	A					-24.6806	-65.4194	3
AR	4401	LA UNION (GRAL. ALVARADO, DPTO. CAPITAL)	Salta	A					-24.6806	-65.4194	3
AR	4401	LESSER	Salta	A					-24.6806	-65.4194	3
AR	4401	LOS ALAMOS	Salta	A					-24.6806	-65.4194	3
AR	4401	LOS MERCADOS	Salta	A					-24.6806	-65.4194	3
AR	4401	LOS SAUCES (CALDERA, DPTO. CALDERA)	Salta	A					-24.6806	-65.4194	3
AR	4401	MAYO TORITO	Salta	A					-24.6806	-65.4194	3
AR	4401	PEÑALVA	Salta	A					-24.6806	-65.4194	3
AR	4401	POTRERO DE CASTILLO	Salta	A					-24.6806	-65.4194	3
AR	4401	VELARDES	Salta	A					-24.6806	-65.4194	3
AR	4401	VILLA SAN LORENZO	Salta	A					-24.6806	-65.4194	3
AR	4401	YACONES	Salta	A					-24.6806	-65.4194	3
AR	4401	MONTE	Salta	A					-24.6806	-65.4194	3
AR	4401	PAREDES	Salta	A					-24.6806	-65.4194	3
AR	4401	LAS COSTAS	Salta	A					-24.75	-65.4667	4
AR	4401	SAN ALEJO	Salta	A					-24.6806	-65.4194	3
AR	4403	RODEOS	Salta	A					-25.5	-65.2917	3
AR	4403	LA FALDA (CERRILLOS - DPTO. CERRILLOS)	Salta	A					-25.5	-65.2917	3
AR	4403	LA FAMA	Salta	A					-25.5	-65.2917	3
AR	4403	SAN CLEMENTE	Salta	A					-25.5	-65.2917	3
AR	4403	VILLA LOS TARCOS	Salta	A					-25.5	-65.2917	3
AR	4403	RIO ANCHO (APEADERO FCGB)	Salta	A					-25.5	-65.2917	3
AR	4403	OLMOS	Salta	A					-25.5	-65.2917	3
AR	4403	CEBADOS	Salta	A					-25.5	-65.2917	3
AR	4403	SANTA ELENA (CERRILLOS, DPTO. CERRILLOS)	Salta	A					-25.5	-65.2917	3
AR	4403	SAN MIGUEL	Salta	A					-25.5	-65.2917	3
AR	4403	PIEDEMONTE	Salta	A					-25.5	-65.2917	3
AR	4403	COLON	Salta	A					-25.5	-65.2917	3
AR	4403	KILOMETRO 1156 (APEADERO FCGB)	Salta	A					-25.5	-65.2917	3
AR	4403	ISLA DE LA CANDELARIA	Salta	A					-25.5	-65.2917	3
AR	4403	EL COLEGIO	Salta	A					-25.5	-65.2917	3
AR	4403	CERRILLOS	Salta	A					-24.9	-65.4833	4
AR	4403	LA CANDELARIA	Salta	A					-26.1	-65.1	4
AR	4403	ZANJON	Salta	A					-25.5	-65.2917	3
AR	4405	ROSARIO DE LERMA	Salta	A					-24.9833	-65.5833	4
AR	4405	EL MANZANO	Salta	A					-24.9333	-65.8	4
AR	4405	EL MOLLAR	Salta	A					-25.0333	-65.5667	4
AR	4405	EL PORVENIR	Salta	A					-25.3833	-64.6667	4
AR	4405	EL PUCARA (APEADERO FCGB)	Salta	A					-25.0833	-65.4042	3
AR	4405	BALLENAL	Salta	A					-25.0833	-65.4042	3
AR	4405	LAS ROSAS	Salta	A					-25.0833	-65.4042	3
AR	4405	CAMARA (ROSARIO DE LERMA, DPTO. ROSARIO DE LERMA)	Salta	A					-25.0833	-65.4042	3
AR	4405	EL DORADO	Salta	A					-25.0833	-65.4042	3
AR	4405	EL TIMBO	Salta	A					-25.0833	-65.4042	3
AR	4407	LAS ARCAS	Salta	A					-24.875	-65.5917	3
AR	4407	KILOMETRO 1172	Salta	A					-24.875	-65.5917	3
AR	4407	VIRREY TOLEDO (APEADERO FCGB)	Salta	A					-24.875	-65.5917	3
AR	4407	EL TUNAL (CAMPO QUIJANO, DPTO. ROSARIO DE LERMA)	Salta	A					-24.875	-65.5917	3
AR	4407	POTRERO DE URIBURU	Salta	A					-24.875	-65.5917	3
AR	4407	POTRERO DE LINARES	Salta	A					-24.875	-65.5917	3
AR	4407	CAMPO QUIJANO	Salta	A					-24.9167	-65.65	4
AR	4407	SILLETA	Salta	A					-24.8667	-65.5833	4
AR	4407	LA SILLETA	Salta	A					-24.8667	-65.5833	4
AR	4407	EL ENCON	Salta	A					-24.85	-65.55	4
AR	4409	LAS CEBADAS	Salta	A					-24.5667	-65.8333	4
AR	4409	CHORRILLOS	Salta	A					-24.75	-65.75	4
AR	4409	PUERTA DE TASTIL	Salta	A					-24.5	-65.8667	4
AR	4409	GOBERNADOR MANUEL SOLA	Salta	A					-24.5667	-65.8333	4
AR	4409	VILLA SOLA	Salta	A					-24.5485	-65.8803	3
AR	4409	EL ALISAL	Salta	A					-24.85	-65.6833	4
AR	4409	INGENIERO MAURY	Salta	A					-24.6667	-65.75	4
AR	4409	LAS CAPILLAS	Salta	A					-24.6167	-66.0333	4
AR	4409	PUERTA TASTIL	Salta	A					-24.5	-65.8667	4
AR	4409	SANTA ROSA DE TASTIL	Salta	A					-24.4333	-65.95	4
AR	4409	CACHIÑAL	Salta	A					-24.25	-66.0667	4
AR	4409	LAS CUEVAS	Salta	A					-24.3333	-66.05	4
AR	4409	LAS ZORRAS	Salta	A					-24.5485	-65.8803	3
AR	4409	DAMIAN M. TORINO	Salta	A					-24.5485	-65.8803	3
AR	4409	DIEGO DE ALMAGRO	Salta	A					-24.5485	-65.8803	3
AR	4409	CERRO BAYO	Salta	A					-24.5485	-65.8803	3
AR	4409	EL ALFREDITO	Salta	A					-24.5485	-65.8803	3
AR	4409	EL GOLGOTA	Salta	A					-24.5485	-65.8803	3
AR	4409	MESETA (APEADERO FCGB)	Salta	A					-24.5485	-65.8803	3
AR	4409	EL TORO	Salta	A					-24.5485	-65.8803	3
AR	4409	ENCRUCIJADA	Salta	A					-24.5485	-65.8803	3
AR	4409	ENCRUCIJADA DE TASTIL	Salta	A					-24.5485	-65.8803	3
AR	4409	GOBERNADOR SARAVIA	Salta	A					-24.5485	-65.8803	3
AR	4409	HUAICONDO	Salta	A					-24.5485	-65.8803	3
AR	4409	INCAHUASI (APEADERO FCGB)	Salta	A					-24.5485	-65.8803	3
AR	4409	INCAMAYO	Salta	A					-24.5485	-65.8803	3
AR	4409	CHORRILLITOS	Salta	A					-24.5485	-65.8803	3
AR	4409	LAS ZORRAS DE SAN BERNARDO	Salta	A					-24.5485	-65.8803	3
AR	4409	MINA CAROLINA	Salta	A					-24.5485	-65.8803	3
AR	4409	QUEBRADA MUÑANO	Salta	A					-24.5485	-65.8803	3
AR	4409	SAN BERNARDO DE LAS ZORRAS	Salta	A					-24.5485	-65.8803	3
AR	4409	TACUARA (APEADERO FCGB)	Salta	A					-24.5485	-65.8803	3
AR	4409	TORO	Salta	A					-24.5485	-65.8803	3
AR	4409	TRES CRUCES (DIEGO DE ALMAGRO, DPTO. ROSARIO DE LERMA)	Salta	A					-24.5485	-65.8803	3
AR	4411	CORTADERAS	Salta	A					-24.1367	-66.51	3
AR	4411	ACAZOQUE	Salta	A					-24.1367	-66.51	3
AR	4411	ABRA DEL GALLO	Salta	A					-24.1367	-66.51	3
AR	4411	NACIMIENTOS	Salta	A					-24.1367	-66.51	3
AR	4411	PIZCUNO	Salta	A					-24.1367	-66.51	3
AR	4411	MUÑANO (KILOMETRO 1308, APEADERO FCGB)	Salta	A					-24.1367	-66.51	3
AR	4411	MORRO COLORADO	Salta	A					-24.1367	-66.51	3
AR	4411	JUNCAL	Salta	A					-24.1367	-66.51	3
AR	4411	UNCURU	Salta	A					-24.1367	-66.51	3
AR	4411	LOS PATOS (APEADERO FCGB)	Salta	A					-24.1367	-66.51	3
AR	4411	PIRCAS	Salta	A					-24.1367	-66.51	3
AR	4411	COBRES	Salta	A					-23.6833	-66.2333	4
AR	4411	PASTOS GRANDES	Salta	A					-24.45	-66.7	4
AR	4411	SANTA ROSA DE LOS PASTOS GRANDES	Salta	A					-24.45	-66.7	4
AR	4411	SAN ANTONIO DE LOS COBRES	Salta	A					-24.1833	-66.35	4
AR	4413	TOLAR GRANDE	Salta	A					-24.6	-67.45	4
AR	4413	SALAR DE POCITOS	Salta	A					-24.3333	-67.0167	4
AR	4413	LA CASUALIDAD	Salta	A					-25.0667	-68.2333	4
AR	4413	KILOMETRO 1373 (APEADERO FCGB)	Salta	A					-24.4667	-67.4292	3
AR	4413	CHUCULAQUI	Salta	A					-24.4667	-67.4292	3
AR	4413	CAIPE	Salta	A					-24.4667	-67.4292	3
AR	4413	SOCOMPA	Salta	A					-24.4667	-67.4292	3
AR	4413	VEGA DE ARIZARO (ESTACION FCGB)	Salta	A					-24.4667	-67.4292	3
AR	4413	OLACAPATO	Salta	A					-24.4667	-67.4292	3
AR	4413	UNQUILLAL (EMBARCADERO FCGB)	Salta	A					-24.4667	-67.4292	3
AR	4413	QUEBRADA DEL AGUA (ESTACION FCGB)	Salta	A					-24.4667	-67.4292	3
AR	4413	LAGUNA SECA	Salta	A					-24.4667	-67.4292	3
AR	4413	KILOMETRO 1424 (DESVIO FCGB)	Salta	A					-24.4667	-67.4292	3
AR	4413	KILOMETRO 1369 (APEADERO FCGB)	Salta	A					-24.4667	-67.4292	3
AR	4415	EL RODEO	Salta	A					-24.9881	-66.0048	3
AR	4415	YACERA	Salta	A					-24.9881	-66.0048	3
AR	4415	MINAS SAN WALTERIO	Salta	A					-24.9881	-66.0048	3
AR	4415	TRIGAL	Salta	A					-24.9881	-66.0048	3
AR	4415	MINAS VICTORIA	Salta	A					-24.9881	-66.0048	3
AR	4415	PUEBLO VIEJO (LA POMA, DPTO. LA POMA)	Salta	A					-24.9881	-66.0048	3
AR	4415	SALADILLO (LA POMA, DPTO. LA POMA)	Salta	A					-24.9881	-66.0048	3
AR	4415	POTRERO (PAYOGASTA, DPTO. CACHI)	Salta	A					-24.9881	-66.0048	3
AR	4415	VILLITAS	Salta	A					-24.9881	-66.0048	3
AR	4415	EL POTRERO (DPTO. CACHI)	Salta	A					-24.9881	-66.0048	3
AR	4415	LOMA DEL BURRO	Salta	A					-24.9881	-66.0048	3
AR	4415	MAL PASO	Salta	A					-24.9881	-66.0048	3
AR	4415	MINA SAN ESTEBAN	Salta	A					-24.9881	-66.0048	3
AR	4415	EL MARAY	Salta	A					-24.9881	-66.0048	3
AR	4415	EL CANDADO	Salta	A					-24.9881	-66.0048	3
AR	4415	BARRIO VILLA SAN JOSE	Salta	A					-24.9881	-66.0048	3
AR	4415	BARRIO NEGRO (MINAS)	Salta	A					-24.9881	-66.0048	3
AR	4415	SAN MARTIN LA CUESTA	Salta	A					-24.9881	-66.0048	3
AR	4415	MINA SAN GUILLERMO	Salta	A					-24.9881	-66.0048	3
AR	4415	AGUA NEGRA	Salta	A					-24.9881	-66.0048	3
AR	4415	LA ESPERANZA	Salta	A					-24.9881	-66.0048	3
AR	4415	QUEBRADA DE ESCOIPE	Salta	A					-25.1667	-65.7667	4
AR	4415	LAS ZANJAS	Salta	A					-25.1	-65.7667	4
AR	4415	LA POMA	Salta	A					-24.7167	-66.2167	4
AR	4415	PUNTA DE AGUA	Salta	A					-24.9	-66.05	4
AR	4415	TONCO	Salta	A					-25.0667	-65.95	4
AR	4415	PALERMO OESTE	Salta	A					-24.9333	-66.1833	4
AR	4415	PAYOGASTA	Salta	A					-25.0333	-66.1	4
AR	4417	CACHI ADENTRO	Salta	A					-25.0833	-66.2333	4
AR	4417	CACHI	Salta	A					-25.1	-66.1833	4
AR	4417	CUESTA DEL OBISPO	Salta	A					-25.0917	-66.2083	3
AR	4417	RIO BLANCO	Salta	A					-25.0917	-66.2083	3
AR	4417	RIO TORO	Salta	A					-25.0917	-66.2083	3
AR	4417	PUERTA DE LA PAYA	Salta	A					-25.0917	-66.2083	3
AR	4417	PUEBLO VIEJO (CACHI, DPTO. CACHI)	Salta	A					-25.0917	-66.2083	3
AR	4417	PUIL	Salta	A					-25.0917	-66.2083	3
AR	4419	PEÑAS BLANCAS	Salta	A					-25.3148	-66.2778	3
AR	4419	ESQUINA (MOLINOS, DPTO. MOLINOS)	Salta	A					-25.3148	-66.2778	3
AR	4419	EL BREALITO	Salta	A					-25.3148	-66.2778	3
AR	4419	HOMBRE MUERTO	Salta	A					-25.3148	-66.2778	3
AR	4419	TOMUCO	Salta	A					-25.3148	-66.2778	3
AR	4419	TACUIL	Salta	A					-25.3148	-66.2778	3
AR	4419	SECLANTA ADENTRO	Salta	A					-25.3148	-66.2778	3
AR	4419	SAN JOSE DE COLTE	Salta	A					-25.3148	-66.2778	3
AR	4419	DIAMANTE (MOLINOS, DPTO. MOLINOS)	Salta	A					-25.3148	-66.2778	3
AR	4419	CORRIDA DE CORI	Salta	A					-25.3148	-66.2778	3
AR	4419	COLTE	Salta	A					-25.3148	-66.2778	3
AR	4419	COLOME	Salta	A					-25.3148	-66.2778	3
AR	4419	COLMENAR	Salta	A					-25.3148	-66.2778	3
AR	4419	CERRO DE LA ZORRA VIEJA	Salta	A					-25.3148	-66.2778	3
AR	4419	CERRO DEL AGUA DE LA FALDA	Salta	A					-25.3148	-66.2778	3
AR	4419	CERRO BRAVO	Salta	A					-25.3148	-66.2778	3
AR	4419	BURRO YACO	Salta	A					-25.3148	-66.2778	3
AR	4419	LA PAYA	Salta	A					-25.15	-66.2333	4
AR	4419	SAN JOSE DE ESCALCHI	Salta	A					-25.2	-66.2	4
AR	4419	BANDA GRANDE	Salta	A					-25.4167	-66.2333	4
AR	4419	SECLANTAS	Salta	A					-25.3	-66.25	4
AR	4419	LURACATAO	Salta	A					-25.2333	-66.45	4
AR	4419	BREALITO	Salta	A					-25.2667	-66.35	4
AR	4419	HUMANAS	Salta	A					-25.3148	-66.2778	3
AR	4419	MOLINOS	Salta	A					-25.4167	-66.3167	4
AR	4419	ANGOSTURA	Salta	A					-25.4833	-66.2333	4
AR	4419	EL CHURCAL	Salta	A					-25.3667	-66.2333	4
AR	4419	VOLCAN AZUFRE	Salta	A					-25.3148	-66.2778	3
AR	4421	SAUCE ALEGRE	Salta	A					-25.3042	-65.5097	3
AR	4421	SAN VICENTE	Salta	A					-25.3042	-65.5097	3
AR	4421	FACUNDO ZUVIRIA	Salta	A					-25.0833	-65.4833	4
AR	4421	EL CARRIL	Salta	A					-25.0833	-65.4667	4
AR	4421	CORONEL MOLDES	Salta	A					-25.2667	-65.4833	4
AR	4421	AMPASCACHI	Salta	A					-25.3333	-65.5333	4
AR	4421	SAN AGUSTIN	Salta	A					-24.9833	-65.4167	4
AR	4421	OSMA	Salta	A					-25.2	-65.5	4
AR	4421	ALMONA	Salta	A					-25.9667	-64.5167	4
AR	4421	PIEDRAS MORADAS	Salta	A					-25.25	-65.4667	4
